form	lemma	POS	morph
vif	vif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
quida	cuidier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
esracher	esragier	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
La	là	ADVgen	DEGRE=-
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
si	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=n
parent	parent	NOMcom	NOMB.=p|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Hates	Hates	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Mondider	Mondidier	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
E	et	CONcoo	MORPH=empty
se	si	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Malingres	Malingres	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
ove	avuec	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
Berenger	Berengier	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Faukes	Foques	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
Aloriz	Alori	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Ysotard	Ysotart	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
Bricher	Brichier	NOMpro	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Gefron	Grifon	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Hautefoile	Hautefoille	NOMpro	NOMB.=s|GENRE=f|CAS=r
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
cotel	coutel	NOMcom	NOMB.=s|GENRE=m|CAS=r
d'	de	PRE	MORPH=empty
ascer	acier	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
La	là	ADVgen	DEGRE=-
vodrunt	voloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
maintenant	maintenant	ADVgen	DEGRE=-
demembrer	desmembrer	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
leverer	levrier	NOMcom	NOMB.=s|GENRE=m|CAS=r
Quant	cant1	CONsub	MORPH=empty
Neme	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Beivere	Baiver	NOMpro	NOMB.=s|GENRE=f|CAS=r
comensa	comencier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
hucher	huchier1	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Richard	Richart	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Normandie	Normendie	NOMpro	NOMB.=s|GENRE=f|CAS=r
e	et	CONcoo	MORPH=empty
Gaufroi	Gefrei	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
Oger	Ogier	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Terri	Thierri	NOMpro	NOMB.=s|GENRE=m|CAS=n
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n
Ardinois	Ardenois	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Berardz	Berart	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Mondider	Mondidier	NOMpro	NOMB.=s|GENRE=m|CAS=r
Dreit	droit	ADVgen	DEGRE=p
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
pié	pié	NOMcom	NOMB.=s|GENRE=m|CAS=r
Charles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=r
s'	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
vont	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
agenoiler	agenoillier	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dreit	droit	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
mont	mout	ADVgen	DEGRE=-
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
peut	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mervailer	merveillier	VERinf	MORPH=empty
E	et	CONcoo	MORPH=empty
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r
bontez	bonté	NOMcom	NOMB.=p|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
solaien	soloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
repairer	repairier	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
soleiz	soloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mout	mout	ADVgen	DEGRE=-
amer	amer1	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
tenir	tenir1	VERinf	MORPH=empty
cher	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Moy	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
Terri	Thierri	NOMpro	NOMB.=s|GENRE=m|CAS=r
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
Ardonois	Ardenois	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Berard	Berart	NOMpro	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Mondider	Mondidier	NOMpro	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
Ore	or4	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
volez	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
mes	mais1	CONcoo	MORPH=empty
amer	amer1	VERinf	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
priser	prisier	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Sertes	certes	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ceo	ce2	PROdem	NOMB.=s|GENRE=m|CAS=n
pois	peser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i
,	,	PONfbl	MORPH=empty
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
ne	ne1	ADVneg	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
quer	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
noer	noiier2	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
Ja	ja	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
tarrom	taire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
n'	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
averom	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
loer	löer1	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Gardés	garder	VERcjg	MODE=imp|PERS.=2|NOMB.=p
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
traïtres	träitor	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
beni	benëir	VERppe	NOMB.=s|GENRE=m|CAS=r
mester	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
—	—	PONfbl	MORPH=empty
Nemes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Charles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
jeo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
soi	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
garder	garder	VERppe	NOMB.=s|GENRE=m|CAS=n
Si	si	ADVgen	DEGRE=-
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
n'	ne1	ADVneg	MORPH=empty
en	en2	PROadv	MORPH=empty
pense	penser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que4	CONsub	MORPH=empty
tout	tot	PROind	NOMB.=s|GENRE=n|CAS=r
peut	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
justiser	justicier2	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
—	—	PONfbl	MORPH=empty
Amen	amen	INJ	MORPH=empty
,	,	PONfbl	MORPH=empty
ceo	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Charles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
Nemes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
l'	le	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
em	en2	PROadv	MORPH=empty
pri	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
e	et	CONcoo	MORPH=empty
requer	requerre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
.	.	PONfrt	MORPH=empty
Ore	or4	ADVgen	DEGRE=-
escultez	escouter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
pou	poi	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Fraunçois	François	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
Beruër	Berruiier	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
Entendez	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
parole	parole	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
n'	ne1	ADVneg	MORPH=empty
oiz	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s
saing	soing	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
noier	noiier2	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
n'	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ça	ça	ADVgen	DEGRE=-
einz	ainz	ADVgen	DEGRE=-
haut	haut	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
serjaunt	serjant	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
chivaler	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
esquier	escuier2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
cest	cest	DETdem	NOMB.=s|GENRE=m|CAS=n
leverer	levrier	NOMcom	NOMB.=s|GENRE=m|CAS=n
adeie	adaiier	VERppe	NOMB.=s|GENRE=m|CAS=n
ne	ne2	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
voile	voloir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
aprocher	aprochier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Fors	fors1	ADVgen	DEGRE=-
seulement	solement	ADVgen	DEGRE=-
Macer	Macaire	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
noster	nostre	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
despenser	despensier	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Joe	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
vei	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pas	pas	ADVneg	MORPH=empty
Aubri	Auberi	NOMpro	NOMB.=s|GENRE=m|CAS=r
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
seignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r
repeirer	repairier	VERppe	NOMB.=s|GENRE=m|CAS=r
Que	que2	PROrel	NOMB.=s|GENRE=m|CAS=n
en	en2	PROadv	MORPH=empty
mena	mener	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
Roÿne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
en	en2	PROadv	MORPH=empty
faites	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
chacer	chacier	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	DEGRE=-
faites	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
un	un	DETndf	NOMB.=s|GENRE=f|CAS=r
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r
dount	dont	PROrel	NOMB.=s|GENRE=f|CAS=i
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
pri	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
e	et	CONcoo	MORPH=empty
requer	requerre	VERinf	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
Que	que4	CONsub	MORPH=empty
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
mountez	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
beau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
sor	sor2	PRE	MORPH=empty
votre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
destrer	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
E	et	CONcoo	MORPH=empty
nous	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
suërom	sivre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
aprés	après	ADVgen	MORPH=empty
desque	desque	PRE	MORPH=empty
.x.	10	DETcar	NOMB.=p|GENRE=m|CAS=r
chivaler	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
S'	si	ADVgen	MORPH=empty
irrom	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
aprés	après	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
chien	chien	NOMcom	NOMB.=s|GENRE=m|CAS=r
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
bois	bois	NOMcom	NOMB.=s|GENRE=m|CAS=r
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
a	a3	PRE	MORPH=empty
pleser	plaisir	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Si	si	ADVgen	MORPH=empty
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
aïst	aidier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
icil	icel	DETdem	NOMB.=s|GENRE=m|CAS=n
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
tout	tot	PROind	NOMB.=s|GENRE=m|CAS=r
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
juger	jugier	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Solonc	selonc	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
mien	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
pensé	pensé	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ceo	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
di	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
saunz	sans	PRE	MORPH=empty
boiser	boisier1	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
Macer	Macaire	NOMpro	NOMB.=s|GENRE=m|CAS=n
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
occis	ocire	VERppe	NOMB.=s|GENRE=m|CAS=r
Aubri	Auberi	NOMpro	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Mondider	Mondidier	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Voster	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
gentile	gentil	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
baron	baron	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
tant	tant	ADVgen	DEGRE=-
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
preser	prisier	VERinf	MORPH=empty
Ne	ne2	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r
service	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
peut	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
anoier	enoiier	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
D	de	PRE	MORPH=empty
ont	ont	PROrel	NOMB.=s|GENRE=n|CAS=i
par	par	ADVgen	DEGRE=-
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
li	il	PROper	NOMB.=s|GENRE=m|CAS=n
traïtre	träitor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dolent	dolent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
corucez	corrocier	VERppe	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	MORPH=empty
Quant	cant1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
Nemes	Naimes	NOMpro	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
a	a3	PRE	MORPH=empty
pou	poi	NOMcom	NOMB.=s|GENRE=m|CAS=r
qu'	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
devez	desver	VERcjg	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ceo	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Macer	Macaire	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
nient	nïent	NOMcom	NOMB.=s|GENRE=m|CAS=r
dirriez	dire	VERcjg	MODE=con|PERS.=2|NOMB.=p
assez	assez	ADVgen	DEGRE=-
;	;	PONfbl	MORPH=empty
Ne	ne1	ADVneg	MORPH=empty
fusses	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=2|NOMB.=s
si	si	ADVgen	MORPH=empty
