form	lemma	POS	morph
otrie	otroiier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
.	.	PONfrt	MORPH=empty
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
belissant	Belisent	NOMpro	NOMB.=s|GENRE=f|CAS=n
:	:	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=r
tient	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pur	por2	PRE	MORPH=empty
garie	garir	VERppe	NOMB.=s|GENRE=f|CAS=r
;	;	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
marri	mari	NOMcom	NOMB.=s|GENRE=m|CAS=r
ne	ne1	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=f|CAS=i
deit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
peser	peser	VERinf	MORPH=empty
mie	mie	ADVneg	MORPH=empty
.	.	PONfrt	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n
mei	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
amur	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n
n	ne1	ADVneg	MORPH=empty
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
ja	ja	ADVgen	DEGRE=-
vers	vers2	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
guenchie	guenchir	VERppe	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
otinel	Otinel	NOMpro	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
quant	cant1	CONsub	MORPH=empty
vus	vos	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=n
estes	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
amie	ami	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
pur	por2	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
vostre	vostre	ADJpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r
amur	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
frai	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
jo	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
chevalerie	chevalerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
devant	devant	ADVgen	DEGRE=-
atilie	Atelie	NOMpro	NOMB.=s|GENRE=f|CAS=r
a	a3	PRE	MORPH=empty
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
espee	espee	NOMcom	NOMB.=s|GENRE=f|CAS=r
forbiee	forbir	VERppe	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
mort	morir	VERppe	NOMB.=p|GENRE=m|CAS=n
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
paen	paien	NOMcom	NOMB.=p|GENRE=m|CAS=n
quant	cant1	CONsub	MORPH=empty
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
baptesmerie	batesmerie	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
dreiz	droit	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
empereres	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
vus	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
commant	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
m	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
amie	ami	NOMcom	NOMB.=s|GENRE=f|CAS=r
treske	tresque1	CONsub	MORPH=empty
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
venums	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
al	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
pleins	plein	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
lumbadie	Lumbardie	NOMcom	NOMB.=s|GENRE=f|CAS=r
.	.	PONfrt	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n
noces	noce	NOMcom	NOMB.=p|GENRE=f|CAS=n
serrunt	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
aprez	après	ADVgen	DEGRE=-
atelie	Atelie	NOMpro	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
quant	cant1	CONsub	MORPH=empty
averai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r
emperur	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r
garsie	Garsie	NOMpro	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
den	denz	PRE	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
palais	palais2	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
muntez	monter	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
cis	ce2	DETdem	NOMB.=s|GENRE=m|CAS=n
granz	grant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
barnages	barnage	NOMcom	NOMB.=s|GENRE=m|CAS=n
apres	après	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
alez	aler	VERppe	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
mangir	mangier	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
prest	prest1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
e	et	CONcoo	MORPH=empty
cunrez	conrëer	VERppe	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	MORPH=empty
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mangerent	mangier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
a	a3	PRE	MORPH=empty
qui	cui	PROrel	NOMB.=p|GENRE=m|CAS=i
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fud	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
donez	doner	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
apres	après	PRE	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r
supers	soper	NOMcom	NOMB.=s|GENRE=m|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
vins	vin	NOMcom	NOMB.=s|GENRE=m|CAS=n
aportez	aporter	VERppe	NOMB.=s|GENRE=m|CAS=n
enz	enz	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
chambre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=r
u	où	PROrel	NOMB.=s|GENRE=f|CAS=i
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entrez	entrer	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
dormir	dormir	VERinf	MORPH=empty
s	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
unt	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
;	;	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
unt	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
hus	uis	NOMcom	NOMB.=p|GENRE=m|CAS=r
fermez	fermer	VERppe	NOMB.=p|GENRE=m|CAS=r
desque	desque	PRE	MORPH=empty
al	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
deman	demain	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
soleil	soleil	NOMcom	NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
levez	lever	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
live	lever	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r
baruns	baron	NOMcom	NOMB.=p|GENRE=m|CAS=r
mandez	mander	VERppe	NOMB.=p|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
sur	sor2	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
table	table	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
sanie	savine	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
muntez	monter	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
bastun	baston	NOMcom	NOMB.=s|GENRE=m|CAS=r
tut	tot	ADVgen	DEGRE=-
a	a3	PRE	MORPH=empty
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
neelez	nëeler	VERppe	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
seignrurs	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
petit	petit	NOMcom	NOMB.=s|GENRE=m|CAS=r
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
atendez	atendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
!	!	PONfrt	MORPH=empty
conseilliez	conseillier1	VERcjg	MODE=imp|PERS.=2|NOMB.=p
mei	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
kar	car	CONcoo	MORPH=empty
fere	faire	VERinf	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
devez	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
garsie	Garsie	NOMpro	NOMB.=s|GENRE=m|CAS=r
dunt	dont	PROrel	NOMB.=s|GENRE=m|CAS=i
oi	öir	VERppe	NOMB.=s|GENRE=m|CAS=r
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
avez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
entrez	entrer	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
mes	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=r
chastels	chastel	NOMcom	NOMB.=p|GENRE=m|CAS=r
aer	ardre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
e	et	CONcoo	MORPH=empty
brise	brisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
me	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=f|CAS=r
citez	cité	NOMcom	NOMB.=p|GENRE=f|CAS=r
:	:	PONfbl	MORPH=empty
ja	ja	ADVgen	DEGRE=-
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
destruite	destruire	VERppe	NOMB.=s|GENRE=f|CAS=n
seinte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p
cristientez	crestïenté	NOMcom	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
irum	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
ainz	ainz	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
venge	venir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
estez	esté1	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
u	o3	CONcoo	MORPH=empty
nus	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
atendrum	atendre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
desque	desque	PRE	MORPH=empty
iver	iver2	NOMcom	NOMB.=s|GENRE=m|CAS=r
set	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
passez	passer1	VERppe	NOMB.=s|GENRE=m|CAS=r
?	?	PONfrt	MORPH=empty
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
franceis	François	NOMpro	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
mervelle	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r
parlez	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
.	.	PONfrt	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
n	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ad	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tut	tot	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
seit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
aprestez	aprester	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
mal	mal1	ADVgen	DEGRE=-
erent	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
autres	autre	DETind	NOMB.=p|GENRE=m|CAS=n
termes	termes	NOMcom	NOMB.=p|GENRE=m|CAS=n
nomez	nomer	VERppe	NOMB.=p|GENRE=m|CAS=n
!	!	PONfrt	MORPH=empty
si	si	ADVgen	DEGRE=-
erent	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
karles	Charles	NOMpro	NOMB.=s|GENRE=m|CAS=n
si	se	CONsub	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
tuz	tot	ADJind	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
loez	löer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
,	,	PONfbl	MORPH=empty
a	a3	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
entree	entree	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
averil	avril	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
quant	cant1	CONsub	MORPH=empty
marz	marz	NOMcom	NOMB.=s|GENRE=m|CAS=n
iret	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
passez	passer1	VERppe	NOMB.=s|GENRE=m|CAS=n
pur	por2	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
mei	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
amur	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r
lores	lors	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
aprestez	aprester	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
.	.	PONfrt	MORPH=empty
dient	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
franceis	François	NOMpro	NOMB.=p|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
cum	come1	CONsub	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
commondez	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
.	.	PONfrt	MORPH=empty
nostre	nostre	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escrire	escrire	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
briefs	brief	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
enpire	empire	NOMcom	NOMB.=s|GENRE=m|CAS=r
tramet	trametre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
messagiers	messagier	NOMcom	NOMB.=p|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
que	que4	CONsub	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
remainent	remanoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
neis	nëis	ADVgen	DEGRE=-
un	un	DETndf	NOMB.=s|GENRE=m|CAS=n
chevalirs	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
humme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
pié	pié	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
archir	archier	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
arblastiers	arbalestier	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
que	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
dunc	donc	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
vienge	venir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
n	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
put	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aler	aler	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
seint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
denise	Denis	NOMpro	NOMB.=s|GENRE=m|CAS=r
rende	rendre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
.iiii.	catre	DETcar	NOMB.=p|GENRE=m|CAS=r
deniers	denier	NOMcom	NOMB.=p|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
ore	or4	ADVgen	DEGRE=-
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
decebre	decembre	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
passé	passer1	VERppe	NOMB.=s|GENRE=m|CAS=n
genviers	jenvier	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
feverier	fevrier	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
marz	marz	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
e	et	CONcoo	MORPH=empty
vint	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=n
ligers	legier2	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
.	.	PONfrt	MORPH=empty
a	a3	PRE	MORPH=empty
paris	Paris	NOMpro	NOMB.=s|GENRE=m|CAS=r
