form	lemma	POS	morph
qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
mort	morir	VERppe	NOMB.=s|GENRE=m|CAS=r
trova	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
fil	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
regrete	regreter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
con	come1	CONsub	MORPH=empty
ja	ja	ADVgen	DEGRE=-
porrez	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
oïr	öir	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
mare	mar	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
futes	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
!	!	PONfrt	MORPH=empty
franc	franc1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
gentil	gentil	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
;	;	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Or	or4	ADVgen	DEGRE=-
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
dire	dire	VERinf	MORPH=empty
malement	malement	ADVgen	DEGRE=-
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bailli	baillier	VERppe	NOMB.=s|GENRE=m|CAS=n
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Abatu	abatre	VERppe	NOMB.=s|GENRE=m|CAS=r
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
chastel	chastel	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
Nesil	Nesil	NOMpro	NOMB.=s|GENRE=x|CAS=r
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Et	et	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
a	a3	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
gesir	jesir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
«	«	PONpga	MORPH=empty
Certes	certes	ADVgen	DEGRE=-
,	,	PONfbl	MORPH=empty
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r
pris	prisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ore	or4	ADVgen	DEGRE=-
petit	petit	ADVgen	DEGRE=p
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Ne	ne2	CONcoo	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
ne	ne1	ADVneg	MORPH=empty
chaut	chaloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
qel	quel1	DETint	NOMB.=s|GENRE=f|CAS=r
part	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r
doie	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ganchir	guenchir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Enz	enz	ADVgen	DEGRE=-
enz	en1	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
estor	estor2	NOMcom	NOMB.=s|GENRE=m|CAS=r
par	par	PRE	MORPH=empty
mautalent	mautalent	NOMcom	NOMB.=s|GENRE=m|CAS=r
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Et	et	CONcoo	MORPH=empty
fiert	ferir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Beraut	Beraut	NOMpro	NOMB.=s|GENRE=m|CAS=r
qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Poissi	Poissi	NOMpro	NOMB.=s|GENRE=x|CAS=r
:	:	PONfbl	MORPH=empty
Senglant	sanglent	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
en	en2	PROadv	MORPH=empty
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
poitrine	poitrine	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
piz	piz	NOMcom	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
Godefroi	Godefroi	NOMpro	NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
teste	teste	NOMcom	NOMB.=s|GENRE=f|CAS=r
pris	prendre	VERppe	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Qi	qui	PROint	NOMB.=s|GENRE=m|CAS=n
donc	donc	ADVgen	DEGRE=-
veïst	vëoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
Bernart	Bernart	NOMpro	NOMB.=s|GENRE=m|CAS=r
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
brant	brant1	NOMcom	NOMB.=s|GENRE=m|CAS=r
ferir	ferir	VERppe	NOMB.=s|GENRE=m|CAS=r
!	!	PONfrt	MORPH=empty
A	a3	PRE	MORPH=empty
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
voiz	voiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
escrié	escrïer	VERppe	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Nesil	Nesil	NOMpro	NOMB.=s|GENRE=m|CAS=n
!	!	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n
un	un	PROind	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
autre	autre	PROind	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Qel	quel1	DETint	NOMB.=s|GENRE=m|CAS=n
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
ci	ci	ADVgen	DEGRE=-
!	!	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Devant	devant	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
garde	garder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
s'	si	ADVgen	DEGRE=-
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.j.	un	DETndf	NOMB.=s|GENRE=m|CAS=r
espié	espiet	NOMcom	NOMB.=s|GENRE=m|CAS=r
choisi	choisir	VERppe	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
chevau	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
abessa	abaissier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
si	si	ADVgen	DEGRE=-
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Et	et	CONcoo	MORPH=empty
vet	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ferir	ferir	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
Mont	Mont	NOMpro	NOMB.=s|GENRE=m|CAS=r
d'	de	PRE	MORPH=empty
Ausois	Ausois	NOMpro	NOMB.=s|GENRE=x|CAS=r
Terri	Thierri	NOMpro	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
Icil	icel	PROdem	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
oncles	oncle	NOMcom	NOMB.=s|GENRE=m|CAS=n
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Lohorenc	loherenc	NOMpro	NOMB.=s|GENRE=m|CAS=r
Garin	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
auberc	hauberc	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
trenche	trenchier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
sor	sor2	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
peliçon	peliçon	NOMcom	NOMB.=s|GENRE=m|CAS=r
gris	gris	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Si	si	ADVgen	DEGRE=-
qe	que4	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
pane	pene	NOMcom	NOMB.=s|GENRE=f|CAS=r
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
ront	rompre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
mi	mi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
chiet	chëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
crie	crïer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Diex	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r
!	!	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
Garin	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
a	a3	PRE	MORPH=empty
poi	poi	ADVgen	DEGRE=-
n'	ne1	ADVneg	MORPH=empty
enrage	enragier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vis	vif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
:	:	PONfbl	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
destrier	destrier1	NOMcom	NOMB.=s|GENRE=m|CAS=r
broche	brochier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r
esperons	esperon	NOMcom	NOMB.=p|GENRE=m|CAS=r
d'	de	PRE	MORPH=empty
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r
fin	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Brandist	brandir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
hante	hanste	NOMcom	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
espié	espiet	NOMcom	NOMB.=s|GENRE=m|CAS=r
poitevin	poitevin	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
;	;	PONfbl	MORPH=empty
Dont	dont	PROrel	NOMB.=s|GENRE=m|CAS=i
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
remenbre	remembrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Huon	Hue	NOMpro	NOMB.=s|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
meschin	meschin	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
,	,	PONfbl	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n
qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
tenoit	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
Cambresin	Cambroisi	NOMpro	NOMB.=s|GENRE=x|CAS=r
Qe	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
dant	dan2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Bernart	Bernart	NOMpro	NOMB.=s|GENRE=m|CAS=r
par	par	PRE	MORPH=empty
traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
ocist	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Sainte	saint	NOMpro	NOMB.=s|GENRE=f|CAS=n
Marie	marie	NOMpro	NOMB.=s|GENRE=f|CAS=n
!	!	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
dus	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Garins	Garin	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Ja	ja	ADVgen	DEGRE=-
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
ci	ci	ADVgen	DEGRE=-
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
mortel	mortel	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
anemi	enemi	NOMcom	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
plus	plus	ADVgen	DEGRE=-
felon	felon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=s
qe	que2	PROrel	NOMB.=s|GENRE=m|CAS=r
deables	dïable	NOMcom	NOMB.=s|GENRE=m|CAS=n
feïst	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Qi	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
devant	devant	PRE	MORPH=empty
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ci	ci	ADVgen	DEGRE=-
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
oncle	oncle	NOMcom	NOMB.=s|GENRE=m|CAS=r
ocis	ocire	VERppe	NOMB.=s|GENRE=m|CAS=r
;	;	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
En	en1	PRE	MORPH=empty
traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r
vers	vers2	PRE	MORPH=empty
Huon	Hue	NOMpro	NOMB.=s|GENRE=m|CAS=r
entreprist	entreprendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
«	«	PONpga	MORPH=empty
Se	se	CONsub	MORPH=empty
einsi	ainsi	ADVgen	DEGRE=-
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
eschape	eschaper	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
prise	prisier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
petit	petit	ADVgen	NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Ou	o3	CONcoo	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
morré	morir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
ou	o3	CONcoo	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
morir	morir	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
«	«	PONpga	MORPH=empty
Or	or4	ADVgen	DEGRE=-
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
comant	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
paradis	paradis	NOMcom	NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
«	«	PONpga	MORPH=empty
Ahi	hay!	INJ	MORPH=empty
!	!	PONfrt	MORPH=empty
Rigaut	Rigaut	NOMpro	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
biax	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
niés	nevo	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	MORPH=empty
qe	que3	PROint	NOMB.=s|GENRE=n|CAS=r
n'	ne1	ADVneg	MORPH=empty
es	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
or	or4	ADVgen	DEGRE=-
ci	ci	ADVgen	DEGRE=-
?	?	PONfrt	MORPH=empty
»	»	PONpdr	MORPH=empty
De	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
fin	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r
ala	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Bernart	Bernart	NOMpro	NOMB.=s|GENRE=m|CAS=r
ferir	ferir	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Toute	tot	DETind	NOMB.=s|GENRE=f|CAS=r
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r
par	par	PRE	MORPH=empty
bon	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
corage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
trenche	trenchier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r
haubert	hauberc	NOMcom	NOMB.=s|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
rompi	rompre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Parmi	parmi	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
flans	flanc	NOMcom	NOMB.=p|GENRE=m|CAS=r
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
espié	espiet	NOMcom	NOMB.=s|GENRE=m|CAS=r
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
bon	bon	NOMcom	NOMB.=s|GENRE=m|CAS=r
chevau	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
abati	abatre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Entre	entre2	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
piez	pié	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
chevau	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	MORPH=empty
Par	par	PRE	MORPH=empty
deseur	desor	PRE	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
en	en2	PROadv	MORPH=empty
passerent	passer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
bien	bien1	ADVgen	DEGRE=p
.M.	1000	PROcar	NOMB.=p|GENRE=m|CAS=n
S'	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
engoisse	angoisse	NOMcom	NOMB.=s|GENRE=f|CAS=r
,	,	PONfbl	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
covient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
sofrir	sofrir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Moines	moine1	NOMcom	NOMB.=p|GENRE=m|CAS=n
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
en	en2	PROadv	MORPH=empty
portent	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
;	;	PONfbl	MORPH=empty
sor	sor2	PRE	MORPH=empty
.j.	un	DETndf	NOMB.=s|GENRE=m|CAS=r
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	MORPH=empty
Jusqe	jusque	PRE	MORPH=empty
a	a3	PRE	MORPH=empty
Saint	saint	NOMpro	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
Vane	Vane	NOMpro	NOMB.=s|GENRE=x|CAS=r
en	en1	PRE	MORPH=empty
